Company Name,URL,Industry
Samsung Electronics Co,https://www.investing.com/equities/samsung-electronics-co-ltd-ratios?cid=104387,"Computers, Phones & Household Electronics"
Louis Vuitton ADR,https://www.investing.com/equities/lvmh-moet-henn-l-vut-ratios,Textiles & Apparel
Home Depot,https://www.investing.com/equities/home-depot-ratios,Specialty Retailers
J&J,https://www.investing.com/equities/johnson-johnson-ratios,Pharmaceuticals
Merck&Co,https://www.investing.com/equities/merck---co-ratios,Pharmaceuticals
Bank of America Corp Pe ADR,https://www.investing.com/equities/bank-of-america-corp-pe-adr-ratios,Banking Services
Bank of America Corp Pl Pref,https://www.investing.com/equities/bank-of-america-corp-pl-pref-ratios,Banking Services
Bank of America Corp Pl ADR,https://www.investing.com/equities/bank-of-america-corp-pl-adr-ratios,Banking Services
Bank of America Pm,https://www.investing.com/equities/bank-of-america-corp-drc-ratios,Banking Services
Bank of America Corp Pg ADR,https://www.investing.com/equities/bank-of-america-corp-pg-adr-ratios,Banking Services
Bank of America Corp Ph ADR,https://www.investing.com/equities/bank-of-america-corp-ph-adr-ratios,Banking Services
Bank of America Corp Pj ADR,https://www.investing.com/equities/bank-of-america-corp-pj-adr-ratios,Banking Services
Bank of America,https://www.investing.com/equities/bank-of-america-ratios,Banking Services
AbbVie,https://www.investing.com/equities/abbvie-inc-ratios,Pharmaceuticals
Netflix,"https://www.investing.com/equities/netflix,-inc.-ratios",Software & IT Services
Chevron,https://www.investing.com/equities/chevron-ratios,Oil & Gas
Nestle ADR,https://www.investing.com/equities/nestle-sa-pk-ratios,Food & Tobacco
Nestle,https://www.investing.com/equities/nestle-ag-ratios?cid=53030,Food & Tobacco
Coca-Cola,https://www.investing.com/equities/coca-cola-co-ratios,Beverages
Toyota Motor ADR,https://www.investing.com/equities/toyota-ratios,Automobiles & Auto Parts
Toyota Motor,https://www.investing.com/equities/toyota-motor-corporation-ratios?cid=53018,Automobiles & Auto Parts
AMD,https://www.investing.com/equities/adv-micro-device-ratios,Semiconductors & Semiconductor Equipment
Qualcomm,https://www.investing.com/equities/qualcomm-inc-ratios,Semiconductors & Semiconductor Equipment
L’Oreal ADR,https://www.investing.com/equities/l-oreal-co-ratios,Personal & Household Products & Services
Industrial Commercial Bank of China,https://www.investing.com/equities/industrial-commercial-bank-of-china-ratios,Banking Services
Industrial Commercial Bank of China ltd,https://www.investing.com/equities/icbc-ratios?cid=52484,Banking Services
Roche Holding ADR,https://www.investing.com/equities/roche-holding-ltd-ratios,Pharmaceuticals
Roche Holding Participation,https://www.investing.com/equities/roche-hldg-ratios?cid=53057,Pharmaceuticals
AstraZeneca,https://www.investing.com/equities/astrazeneca-ratios?cid=53026,Pharmaceuticals
AstraZeneca ADR,https://www.investing.com/equities/astrazeneca-plc-ads-ratios,Pharmaceuticals
Hermes International,https://www.investing.com/equities/hermes-international-ratios?cid=941932,Textiles & Apparel
Hermes International SA,https://www.investing.com/equities/hermes-international-sa-ratios,Textiles & Apparel
PetroChina H,https://www.investing.com/equities/petrochina-ratios?cid=51159,Oil & Gas
Adobe,https://www.investing.com/equities/adobe-sys-inc-ratios,Software & IT Services
PepsiCo,https://www.investing.com/equities/pepsico-ratios,Beverages
Salesforce Inc,https://www.investing.com/equities/salesforce-com-ratios,Software & IT Services
Shell,https://www.investing.com/equities/royal-dutch-shell-a-shr-ratios?cid=52995,Oil & Gas
Shell ADR,https://www.investing.com/equities/royal-dutch-shell-a-plc-ratios,Oil & Gas
SAP ADR,https://www.investing.com/equities/sap-ag-ads-exch-ratios,Software & IT Services
SAP,https://www.investing.com/equities/sap-ag-ratios?cid=53037,Software & IT Services
Thermo Fisher Scientific,https://www.investing.com/equities/thermo-fisher-sc-ratios,Healthcare Equipment & Supplies
Novartis,https://www.investing.com/equities/novartis-ratios?cid=53040,Pharmaceuticals
Novartis ADR,https://www.investing.com/equities/novartis-ag-ratios,Pharmaceuticals
Linde PLC,https://www.investing.com/equities/linde-plc-ratios?cid=1208282,Chemicals
T-Mobile US,https://www.investing.com/equities/metropcs-communications-ratios,Telecommunications Services
PDD Holdings DRC,https://www.investing.com/equities/pinduoduo-ratios,Software & IT Services
Wells Fargo Pref A,https://www.investing.com/equities/wells-fargo-co-drc-ratios,Banking Services
Wells Fargo Pref L,https://www.investing.com/equities/wells-fargo---co-pl-pref-ratios,Banking Services
Wells Fargo&Co,https://www.investing.com/equities/wells-fargo-ratios,Banking Services
Applied Materials,https://www.investing.com/equities/applied-matls-inc-ratios,Semiconductors & Semiconductor Equipment
Bank of America 15 December 2066,https://www.investing.com/equities/merrill-lynch-preferred-cap-i-pref-ratios,Banking Services
Agricultural Bank of China PK,https://www.investing.com/equities/agricultural-bank-of-china-pk-ratios,Banking Services
Agricultural Bank Of China,https://www.investing.com/equities/agricultural-bank-of-china-ratios?cid=38111,Banking Services
Danaher,https://www.investing.com/equities/danaher-corp-ratios,Healthcare Equipment & Supplies
Cisco,https://www.investing.com/equities/cisco-sys-inc-ratios,Communications & Networking
Walt Disney,https://www.investing.com/equities/disney-ratios,Media & Publishing
China Construction Bank,https://www.investing.com/equities/ccb-ratios?cid=52497,Banking Services
China Construction Bank Corp,https://www.investing.com/equities/china-construction-bank-corp-ratios,Banking Services
Abbott Labs,https://www.investing.com/equities/abbott-laboratories-ratios,Healthcare Equipment & Supplies
McDonald’s,https://www.investing.com/equities/mcdonalds-ratios,Hotels & Entertainment Services
General Electric,https://www.investing.com/equities/general-electric-ratios,Consumer Goods Conglomerates
Alibaba,https://www.investing.com/equities/alibaba-group-holding-hk-ratios?cid=1177706,Software & IT Services
Alibaba ADR,https://www.investing.com/equities/alibaba-ratios,Software & IT Services
Accenture,https://www.investing.com/equities/accenture-ltd-ratios,Software & IT Services
Texas Instruments,https://www.investing.com/equities/texas-instru-ratios,Semiconductors & Semiconductor Equipment
AT&T,https://www.investing.com/equities/at-t-inc-ratios,Telecommunications Services
AT&T ELKS,https://www.investing.com/equities/at-t-elks-ratios,Telecommunications Services
Intuit,https://www.investing.com/equities/intuit-ratios,Financial Technology (Fintech) & Infrastructure
Bank of China H,https://www.investing.com/equities/bank-of-china-ss-ratios?cid=52401,Banking Services
Bank China ADR,https://www.investing.com/equities/bank-of-china-ltd-ratios,Banking Services
Micron,https://www.investing.com/equities/micron-tech-ratios,Semiconductors & Semiconductor Equipment
Verizon,https://www.investing.com/equities/verizon-communications-ratios,Telecommunications Services
Arm,https://www.investing.com/equities/arm-ratios,Semiconductors & Semiconductor Equipment
American Express,https://www.investing.com/equities/american-express-ratios,Banking Services
Amgen,https://www.investing.com/equities/amgen-inc-ratios,Pharmaceuticals
HSBC,https://www.investing.com/equities/hsbc-holdings-ratios?cid=52885,Banking Services
HSBC ADR,https://www.investing.com/equities/hsbc-holdings-plc-ratios,Banking Services
Caterpillar,https://www.investing.com/equities/caterpillar-ratios,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
Morgan Stanley Pa ADR,https://www.investing.com/equities/morgan-stanley-pa-adr-ratios,Investment Banking & Investment Services
Morgan Stanley Pe ADR,https://www.investing.com/equities/morgan-stanley-pe-adr-ratios,Investment Banking & Investment Services
Morgan Stanley Pf ADR,https://www.investing.com/equities/morgan-stanley-pf-adr-ratios,Investment Banking & Investment Services
Morgan Stanley Pi ADR,https://www.investing.com/equities/morgan-stanley-pi-adr-ratios,Investment Banking & Investment Services
Morgan Stanley,https://www.investing.com/equities/morgan-stanley-ratios,Investment Banking & Investment Services
Morgan Stanley Pref K,https://www.investing.com/equities/morgan-stanley-dep-shs-ratios,Investment Banking & Investment Services
Philip Morris,https://www.investing.com/equities/philip-morris-intl-ratios,Food & Tobacco
IBM,https://www.investing.com/equities/ibm-ratios,Software & IT Services
Inditex ADR,https://www.investing.com/equities/industria-de-diseno-textil-ratios,Specialty Retailers
TotalEnergies SE ADR,https://www.investing.com/equities/total-s.a.-ratios,Oil & Gas
TotalEnergies SE,https://www.investing.com/equities/total-ratios?cid=51154,Oil & Gas
Goldman Sachs,https://www.investing.com/equities/goldman-sachs-group-ratios,Investment Banking & Investment Services
Goldman Sachs Group Inc Pa ADR,https://www.investing.com/equities/goldman-sachs-group-inc-pa-adr-ratios,Investment Banking & Investment Services
Goldman Sachs Group Inc Pc ADR,https://www.investing.com/equities/goldman-sachs-group-inc-pc-adr-ratios,Investment Banking & Investment Services
Goldman Sachs Group Inc Pd ADR,https://www.investing.com/equities/goldman-sachs-group-inc-pd-adr-ratios,Investment Banking & Investment Services
Pfizer,https://www.investing.com/equities/pfizer-ratios,Pharmaceuticals
Intuitive Surgical,https://www.investing.com/equities/intuitive-surgical-inc-ratios,Healthcare Equipment & Supplies
ServiceNow Inc,https://www.investing.com/equities/servicenow-inc-ratios,Software & IT Services
Blackstone,https://www.investing.com/equities/the-blackstone-group-ratios,Investment Banking & Investment Services
Uber Tech,https://www.investing.com/equities/uber-technologies-inc-ratios,Software & IT Services
HDFC Bank ADR,https://www.investing.com/equities/hdfc-bank-ratios,Banking Services
RBC,https://www.investing.com/equities/royal-bank-of-canada-rbc-ratios,Banking Services
NextEra Energy,https://www.investing.com/equities/nextera-energy-inc-ratios,Electrical Utilities & IPPs
Comcast,https://www.investing.com/equities/comcast-corp-new-ratios,Telecommunications Services
BHP Group Ltd,https://www.investing.com/equities/bhp-billiton-limited-ratios?cid=52990,Metals & Mining
BHP Group Ltd ADR,https://www.investing.com/equities/bhp-billiton-ltd-nyse-exch-ratios,Metals & Mining
Nike,https://www.investing.com/equities/nike-ratios,Textiles & Apparel
Lam Research,https://www.investing.com/equities/lam-research-corp-ratios,Semiconductors & Semiconductor Equipment
Commonwealth Bank of Australia PK,https://www.investing.com/equities/commonwealth-bank-of-australia-pk-ratios,Banking Services
Siemens AG,https://www.investing.com/equities/siemens-ratios?cid=53050,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
Siemens ADR,https://www.investing.com/equities/siemens-ag-adr-ratios,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
Unilever ADR,https://www.investing.com/equities/unilever-adr-ratios,Personal & Household Products & Services
Rtx Corp,https://www.investing.com/equities/united-tech-ratios,Aerospace & Defense
Honeywell,https://www.investing.com/equities/honeywell-intl-ratios,Consumer Goods Conglomerates
S&P Global,https://www.investing.com/equities/mcgraw-hill-ratios,Professional & Commercial Services
Union Pacific,https://www.investing.com/equities/union-pacific-ratios,Freight & Logistics Services
Booking,https://www.investing.com/equities/priceline.com-inc-ratios,Hotels & Entertainment Services
Charles Schwab,https://www.investing.com/equities/charles-schwab-ratios,Investment Banking & Investment Services
Stryker,https://www.investing.com/equities/stryker-ratios,Healthcare Equipment & Supplies
Eaton,https://www.investing.com/equities/eaton-ratios,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
Christian Dior ADR,https://www.investing.com/equities/christian-dior-adr-ratios,Textiles & Apparel
Christian Dior,https://www.investing.com/equities/christian-dior-ratios?cid=53054,Textiles & Apparel
Intel,https://www.investing.com/equities/intel-corp-ratios,Semiconductors & Semiconductor Equipment
Lowe’s,https://www.investing.com/equities/lowes-companies-ratios,Specialty Retailers
AT&T,https://www.investing.com/equities/at-t-ratios,Telecommunications Services
ConocoPhillips,https://www.investing.com/equities/conoco-phillips-ratios,Oil & Gas
Airbus Group,https://www.investing.com/equities/eads-ratios?cid=53029,Aerospace & Defense
Airbus Group NV,https://www.investing.com/equities/airbus-group-nv-ratios,Aerospace & Defense
TJX,https://www.investing.com/equities/tjx-co-inc-ratios,Diversified Retail
Progressive,https://www.investing.com/equities/the-progressive-ratios,Insurance
Elevance Health,https://www.investing.com/equities/wellpoint-inc-ratios,Healthcare Providers & Services
Deutsche Telekom ADR,https://www.investing.com/equities/deutsche-telekom-ag-pk-ratios,Telecommunications Services
Deutsche Telekom AG,https://www.investing.com/equities/dt-telekom-ratios?cid=51155,Telecommunications Services
Anheuser Busch ADR,https://www.investing.com/equities/anheuser-busch-exch-ratios,Beverages
Vertex,https://www.investing.com/equities/vertex-pharm-ratios,Biotechnology & Medical Research
Sanofi ADR,https://www.investing.com/equities/sanofi-ratios,Pharmaceuticals
Analog Devices,https://www.investing.com/equities/analog-devices-ratios,Semiconductors & Semiconductor Equipment
KLA Corp,https://www.investing.com/equities/kla-tencor-corp-ratios,Semiconductors & Semiconductor Equipment
BlackRock,"https://www.investing.com/equities/blackrock,-inc.-c-ratios",Investment Banking & Investment Services
Citigroup,https://www.investing.com/equities/citigroup-ratios,Investment Banking & Investment Services
China Merchants Bank H,https://www.investing.com/equities/china-merchants-bank-ratios?cid=1177702,Banking Services
China Merchants Bank Co,https://www.investing.com/equities/china-merchants-bank-co-ltd-ratios,Banking Services
China Shenhua Energy Co,https://www.investing.com/equities/china-shenhua-energy-co-ltd-ratios,Coal
United Parcel Service,https://www.investing.com/equities/united-parcel-ratios,Freight & Logistics Services
Mitsubishi UFJ Financial ADR,https://www.investing.com/equities/mits-ufj-financial-grp-ratios,Banking Services
Boston Scientific,https://www.investing.com/equities/boston-scien-cp-ratios,Healthcare Equipment & Supplies
Regeneron Pharma,https://www.investing.com/equities/regeneron-phar.-ratios,Biotechnology & Medical Research
Rio Tinto ADR,https://www.investing.com/equities/rio-tinto-plc-exch-ratios,Metals & Mining
Lockheed Martin,https://www.investing.com/equities/lockheed-martin-ratios,Aerospace & Defense
Chubb,https://www.investing.com/equities/chubb-corp-ratios,Insurance
Boeing,https://www.investing.com/equities/boeing-co-ratios,Aerospace & Defense
Allianz ADR,https://www.investing.com/equities/allianz-se-pk-ratios,Insurance
Arista Networks,https://www.investing.com/equities/arista-networks-ratios,Communications & Networking
Dell Tech,https://www.investing.com/equities/dell-inc-ratios,"Computers, Phones & Household Electronics"
ABB,https://www.investing.com/equities/abb-ltd-ratios?cid=52957,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
ABB ADR,https://www.investing.com/equities/abb-ltd-adr-ratios,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
Deere&Company,https://www.investing.com/equities/deere---co-ratios,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
Medtronic,https://www.investing.com/equities/medtronic-ratios,Healthcare Equipment & Supplies
Marsh McLennan,https://www.investing.com/equities/marsh---mclennan-ratios,Insurance
Keyence,https://www.investing.com/equities/keyence-ratios?cid=53060,Electronic Equipment & Parts
Prologis,https://www.investing.com/equities/prologis-ratios,Residential & Commercial REITs
Palo Alto Networks,https://www.investing.com/equities/palo-alto-netwrk-ratios,Software & IT Services
Tokyo Electron Ltd PK,https://www.investing.com/equities/tokyo-electron-ltd-pk-ratios,Semiconductors & Semiconductor Equipment
Tokyo Electron,https://www.investing.com/equities/tokyo-electron-ltd.-ratios?cid=53017,Semiconductors & Semiconductor Equipment
Essilor International SA,https://www.investing.com/equities/essilor-international-sa-ratios,Healthcare Equipment & Supplies
Air Liquide ADR,https://www.investing.com/equities/lair-liquide-sa-ratios,Chemicals
UBS Group,https://www.investing.com/equities/ubs-group-n-ratios?cid=8132,Investment Banking & Investment Services
ADP,https://www.investing.com/equities/auto-data-process-ratios,Software & IT Services
China Life Insurance,https://www.investing.com/equities/china-life-ratios?cid=1177697,Insurance
Sony ADR,https://www.investing.com/equities/sony-ratios,"Computers, Phones & Household Electronics"
Sony,https://www.investing.com/equities/sony-corp.-ratios?cid=52928,"Computers, Phones & Household Electronics"
Hitachi ADR,https://www.investing.com/equities/hitachi-ltd-ratios,Consumer Goods Conglomerates
KKR & Co,https://www.investing.com/equities/kkr---co-lp-ratios,Investment Banking & Investment Services
BP ADR,https://www.investing.com/equities/bp-plc-ratios,Oil & Gas
BYD Co Ltd-H,https://www.investing.com/equities/byd-co.-ratios?cid=52805,Automobiles & Auto Parts
BYD ADR,https://www.investing.com/equities/byd-co-ltd-ratios,Automobiles & Auto Parts
Ping An Insurance,https://www.investing.com/equities/ping-an-ratios?cid=1177701,Insurance
Ping An Insurance Company of China,https://www.investing.com/equities/ping-an-insurance-company-of-china-ratios,Insurance
China Petrol & Chemical H,https://www.investing.com/equities/sinopec-corp-ratios?cid=1177698,Oil & Gas
Toronto Dominion Bank,https://www.investing.com/equities/toronto-dominion-bank-ratios?cid=20605,Banking Services
CrowdStrike Holdings,https://www.investing.com/equities/crowdstrike-holdings-inc-ratios,Software & IT Services
Cigna,https://www.investing.com/equities/cigna-corp-ratios,Healthcare Providers & Services
Synopsys,https://www.investing.com/equities/synopsys-inc-ratios,Software & IT Services
ICICI Bank ADR,https://www.investing.com/equities/icici-bank-ratios,Banking Services
CSL,https://www.investing.com/equities/csl-ltd-ratios,Pharmaceuticals
Chipotle Mexican Grill,https://www.investing.com/equities/chipotle-mexican-grill-inc-ratios,Hotels & Entertainment Services
SoftBank Group,https://www.investing.com/equities/softbank-corp-ratios,Telecommunications Services
SoftBank Group Corp.,https://www.investing.com/equities/softbank-corp.-ratios?cid=53036,Telecommunications Services
Compagnie Financiere Richemont,https://www.investing.com/equities/compagnie-financiere-richemont-ratios,Textiles & Apparel
Airbnb,https://www.investing.com/equities/airbnb-inc-ratios,Software & IT Services
Meituan,https://www.investing.com/equities/meituan-dianping-ratios?cid=1152798,Software & IT Services
Meituan,https://www.investing.com/equities/meituan-adr-ratios,Software & IT Services
Starbucks,https://www.investing.com/equities/starbucks-corp-ratios,Hotels & Entertainment Services
Safran SA,https://www.investing.com/equities/safran-sa-ratios,Aerospace & Defense
Safran,https://www.investing.com/equities/safran-ratios?cid=53027,Aerospace & Defense
American Tower,https://www.investing.com/equities/amer-tower-corp-ratios,Residential & Commercial REITs
Cadence Design,https://www.investing.com/equities/cadence-design-system-inc-ratios,Software & IT Services
Prosus,https://www.investing.com/equities/prosus-ratios?cid=1153077,Software & IT Services
Prosus ADR,https://www.investing.com/equities/prosus-nv-adr-ratios,Software & IT Services
HCA,https://www.investing.com/equities/hca-holdings-inc-ratios,Healthcare Providers & Services
Mondelez,https://www.investing.com/equities/mondelez-international-inc-ratios,Food & Tobacco
Fiserv,https://www.investing.com/equities/fiserv-inc-ratios,Professional & Commercial Services
Petroleo Brasileiro ADR Reptg 2 Pref,https://www.investing.com/equities/petroleo-brasileiro-a-ratios,Oil & Gas
Petroleo Brasileiro Petrobras ADR,https://www.investing.com/equities/petroleo-bras-ratios,Oil & Gas
Southern,https://www.investing.com/equities/southern-co-ratios,Electrical Utilities & IPPs
Hon Hai Precision ADR,https://www.investing.com/equities/hon-hai-inds-ratios?cid=1097630,Electronic Equipment & Parts
Relx ADR,https://www.investing.com/equities/reed-elsevier-plc-ratios,Software & IT Services
Relx,https://www.investing.com/equities/reed-elsevier-ratios?cid=22792,Software & IT Services
Southern Co,https://www.investing.com/equities/southern-co-pr-c-ratios,Electrical Utilities & IPPs
Southern Co,https://www.investing.com/equities/southern-co-pr-d-ratios,Electrical Utilities & IPPs
Southern Copper,https://www.investing.com/equities/southern-copper-corp.-ratios,Metals & Mining
Investor B,https://www.investing.com/equities/investor-ratios?cid=52989,Investment Holding Companies
GSK plc DRC,https://www.investing.com/equities/glaxosmithklein-exch-ratios,Pharmaceuticals
GSK plc,https://www.investing.com/equities/glaxosmithkline-ratios?cid=51158,Pharmaceuticals
Waste Management,https://www.investing.com/equities/waste-managemnt-ratios,Professional & Commercial Services
Amphenol,https://www.investing.com/equities/amphenol-corp-ratios,Electronic Equipment & Parts
Sumitomo Mitsui Financial,https://www.investing.com/equities/sumitomo-mitsui-financial-ratios?cid=53008,Banking Services
Sumitomo Mitsui Financial ADR,https://www.investing.com/equities/sumitomo-mitsui-financial-group-ratios,Banking Services
Shopify Inc,https://www.investing.com/equities/shopify-inc-ratios,Software & IT Services
Bristol-Myers Squibb,https://www.investing.com/equities/bristol-myer-squiib-ratios,Pharmaceuticals
Iberdrola SA,https://www.investing.com/equities/iberdrola-sa-ratios,Electrical Utilities & IPPs
General Dynamics,https://www.investing.com/equities/general-dynam-ratios,Aerospace & Defense
Atlas Copco ADR,https://www.investing.com/equities/atlas-copco-ratios,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
Atlas Copco AB,https://www.investing.com/equities/atlas-copco-ab-ratios,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
Equinor ADR,https://www.investing.com/equities/statoil-asa-ratios,Oil & Gas
Equinor,https://www.investing.com/equities/statoil-ratios?cid=51095,Oil & Gas
MercadoLibre,https://www.investing.com/equities/mercadolibre-ratios,Software & IT Services
Colgate-Palmolive,https://www.investing.com/equities/colgate-palmo-ratios,Personal & Household Products & Services
Merck ADR,https://www.investing.com/equities/merck-kgaa-pk-ratios,Pharmaceuticals
AIA ADR,https://www.investing.com/equities/aia-group-ltd-ratios,Insurance
AIA Group,https://www.investing.com/equities/aia-group-ratios?cid=38071,Insurance
Mitsubishi Corp.,https://www.investing.com/equities/mitsubishi-corp.-ratios?cid=942049,Diversified Industrial Goods Wholesale
Stellantis NV,https://www.investing.com/equities/fiat-ratios?cid=941888,Automobiles & Auto Parts
ICE,https://www.investing.com/equities/intercontintlex-ratios,Investment Banking & Investment Services
Gilead,https://www.investing.com/equities/gilead-sciences-inc-ratios,Pharmaceuticals
McKesson,https://www.investing.com/equities/mckesson-corp-ratios,Pharmaceuticals
Zurich Insurance Group,https://www.investing.com/equities/zurich-insurance-group-ltd-ratios,Insurance
Zurich Insurance Group,https://www.investing.com/equities/zurich-fin-ratios?cid=53056,Insurance
Trane Technologies,https://www.investing.com/equities/trane-technologies-plc-ratios,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
Duke Energy,https://www.investing.com/equities/duke-energy-pr-ratios,Electrical Utilities & IPPs
Recruit Holdings,https://www.investing.com/equities/recruit-holdings-ratios?cid=961118,Professional & Commercial Services
Recruit ADR,https://www.investing.com/equities/recruit-adr-ratios,Professional & Commercial Services
Zoetis Inc,https://www.investing.com/equities/zoetis-inc-ratios,Pharmaceuticals
Nippon ADR,https://www.investing.com/equities/nippon-telegraph-ratios,Telecommunications Services
Nippon Telegraph & Telephone Corp,https://www.investing.com/equities/nippon-telegraph---telephone-corp-ratios?cid=53016,Telecommunications Services
Fast Retailing ADR,https://www.investing.com/equities/fast-retailing-co-ltd-ratios,Specialty Retailers
Duke Energy,https://www.investing.com/equities/duke-energy-ratios,Electrical Utilities & IPPs
Shin-Etsu Chemical ADR,https://www.investing.com/equities/shin-etsu-chemical-co-ltd-ratios,Chemicals
Altria,https://www.investing.com/equities/altria-group-ratios,Food & Tobacco
Moody’s,https://www.investing.com/equities/moodys-corp-ratios,Professional & Commercial Services
Canadian National Railway,https://www.investing.com/equities/canadian-national-railway-ratios,Freight & Logistics Services
CVS Health Corp,https://www.investing.com/equities/cvs-corp-ratios,Healthcare Providers & Services
Sherwin-Williams,https://www.investing.com/equities/sherwinwilliams-ratios,Chemicals
Thomson Reuters,https://www.investing.com/equities/thomson-reuters-corp-ratios?cid=29626,Professional & Commercial Services
Transdigm,https://www.investing.com/equities/transdigm-group-inc-ratios,Aerospace & Defense
DBS Group Holdings ADR,https://www.investing.com/equities/dbs-group-holdings-ltd-ratios,Banking Services
Ferrari NV,https://www.investing.com/equities/ferrari-nv-ratios,Automobiles & Auto Parts
Infosys ADR,https://www.investing.com/equities/infosy-tech-ratios,Software & IT Services
Santander ADR,https://www.investing.com/equities/b-santander-s-a-ratios,Banking Services
National Australia Bank,https://www.investing.com/equities/national-australia-bank-limited-ratios?cid=52979,Banking Services
National Australia Bank ADR,https://www.investing.com/equities/national-australia-bank-ltd-ratios,Banking Services
Enbridge,https://www.investing.com/equities/enbridge-inc.-ratios,Oil & Gas Related Equipment and Services
Canadian Natural,https://www.investing.com/equities/canadian-natural-resources-ratios?cid=20255,Oil & Gas
Equinix,"https://www.investing.com/equities/equinix,-inc.-ratios",Residential & Commercial REITs
Canadian Pacific Kansas City,https://www.investing.com/equities/canadian-pacific-ratios,Freight & Logistics Services
Diageo ADR,https://www.investing.com/equities/diageo-plc-ratios,Beverages
Axa ADR,https://www.investing.com/equities/axa-pk-ratios,Insurance
AXA,https://www.investing.com/equities/axa-ratios?cid=51153,Insurance
Cintas,https://www.investing.com/equities/cintas-corp-ratios,Professional & Commercial Services
BNP Paribas,https://www.investing.com/equities/bnp-paribas-ratios?cid=53038,Banking Services
BNP Paribas ADR,https://www.investing.com/equities/bnp-paribas-pk-ratios,
Illinois Tool Works,https://www.investing.com/equities/illinois-tool-wk-r-ratios,Consumer Goods Conglomerates
CME Group,https://www.investing.com/equities/cme-group-inc.-ratios,Investment Banking & Investment Services
ENEL Societa per Azioni,https://www.investing.com/equities/enel-societa-per-azioni-ratios,Electrical Utilities & IPPs
Mitsui & Company,https://www.investing.com/equities/mitsui---company-ltd-ratios,Diversified Industrial Goods Wholesale
Glencore,https://www.investing.com/equities/glencore-ratios?cid=52803,Metals & Mining
Glencore ADR,https://www.investing.com/equities/glencore-plc-ratios,Metals & Mining
Ecolab,https://www.investing.com/equities/ecolab-inc-ratios,Chemicals
NXP,https://www.investing.com/equities/nxp-semiconductors-ratios,Semiconductors & Semiconductor Equipment
Marriott Int,https://www.investing.com/equities/marriott-intl-ratios,Hotels & Entertainment Services
Bank Central Asia ADR,https://www.investing.com/equities/bank-central-asia-adr-ratios,Banking Services
EOG Resources,https://www.investing.com/equities/eog-resources-ratios,Oil & Gas
Freeport-McMoran,https://www.investing.com/equities/freeport-mcm-ratios,Metals & Mining
